Var,Country,Freedom to make life choices,Freedom to make life choices,Freedom to make life choices,Generosity,Generosity,Generosity,Happiness score,Happiness score,Happiness score,Healthy life expectancy,Healthy life expectancy,Healthy life expectancy,Logged GDP per capita,Logged GDP per capita,Logged GDP per capita,Perceptions of corruption,Perceptions of corruption,Perceptions of corruption,Region,Social support,Social support,Social support
37,Ecuador,0.859828949,0.842,-2.073546026,-0.127014965,-0.124,-2.373708484,5.925199986,5.764,-2.720583042,68.50003815,68.8,0.437900267,9.246058464,9.313,0.724000787,0.801215112,0.843,5.215189701,Latin America and Caribbean,0.836418986,0.821,-1.843452415
38,Egypt,0.708354175,0.749,5.738065284,-0.196878314,-0.182,-7.557111648,4.151400089,4.283,3.170012723,61.78015137,61.998,0.352619126,9.316541672,9.367,0.541599338,0.787726879,0.795,0.923304916,Middle East and North Africa,0.735447824,0.75,1.978682311
39,El Salvador,0.833805263,0.888,6.499687566,-0.121072978,-0.11,-9.145705493,6.34829998,6.061,-4.525620732,66.10826111,66.402,0.444330081,8.909075737,9.054,1.626703681,0.754319906,0.688,-8.792013239,Latin America and Caribbean,0.806092262,0.762,-5.469877839
40,Estonia,0.87770915,0.909,3.565059109,-0.111697771,-0.106,-5.101060611,6.021800041,6.189,2.776577732,68.60495758,68.8,0.284297851,10.34001732,10.481,1.363466575,0.623073816,0.527,-15.41933131,Central and Eastern Europe,0.934729993,0.941,0.670782691
41,Ethiopia,0.740795195,0.752,1.512537483,0.043377332,0.082,89.03882793,4.186200142,4.275,2.12125209,58.63959122,59,0.614616802,7.509385586,7.694,2.458448989,0.753690004,0.761,0.969894248,Sub-Saharan Africa,0.743307352,0.764,2.783861608
42,Finland,0.949172199,0.949,-0.018142019,-0.059482019,-0.098,64.75567179,7.808700085,7.842,0.426446331,71.9008255,72,0.137932352,10.63926697,10.775,1.275774265,0.195444584,0.186,-4.832359028,Western Europe,0.954329729,0.954,-0.034550847
43,France,0.825467646,0.822,-0.420082606,-0.130641967,-0.147,12.52126968,6.663799763,6.69,0.393172633,73.80193329,74,0.268376045,10.58422279,10.704,1.131658057,0.583521128,0.571,-2.145788284,Western Europe,0.937103748,0.942,0.522487719
44,Gabon,0.704829216,0.731,3.713067422,-0.222261623,-0.2,-10.01595449,4.829299927,4.852,0.470048938,59.71533966,59.962,0.413060265,9.680537224,9.603,-0.800959928,0.849150956,0.84,-1.077659506,Sub-Saharan Africa,0.787886858,0.776,-1.508701139
45,Gambia,0.733163178,0.697,-4.932486939,0.343198717,0.424,23.54358539,4.750599861,5.051,6.323414891,55.0120163,55.16,0.269002502,7.321814537,7.686,4.973978256,0.690717816,0.746,8.003584491,Sub-Saharan Africa,0.6931687,0.69,-0.457132585
46,Georgia,0.801641524,0.783,-2.325418961,-0.22892037,-0.238,3.966283123,4.672599792,4.891,4.67406193,64.49520874,64.3,-0.302671693,9.226100922,9.585,3.890040669,0.665944695,0.655,-1.643484073,Commonwealth of Independent States,0.629033029,0.671,6.671664136
